Term;Stemmed;Variations;Frequency
square brackets ([ ]);square bracket ([ ]);square brackets ([ ]);0
fibonacci number;fibonacci number;fibonacci numbers, fibonacci number;11
defining and using new;defining and using new;defining and using new;0
jenkins hash function;jenkins hash function;jenkins hash functions, jenkins hash function;0
splitting line;splitting line;splitting lines, splitting line;0
PGM file;pgm file;PGM files, PGM file;0
abstraction;abstraction;abstraction;23
typed;typed;typed;15
lambda calculu;lambda calculu;lambda calculus, lambda calculu;0
datatype;datatype;datatype;1
foldr function;foldr function;foldr function;0
complexity;complexity;complexity;52
curried function;curried function;curried functions, curried function;4
autocommit mode (databases);autocommit mode ( database );autocommit mode (databases);0
order;order;order;162
restriction;restriction;restrictions, restriction;5
feedback;feedback;feedback;1
right value;right value;right value;0
setfiletimes function;setfiletimes function;setfiletimes function;0
parse type 2nd;parse type 2nd;parse type 2nd;0
runtime option;runtime option;runtime options, runtime option;0
regexp [see regular expressions];regexp [ see regular expression ];regexp [see regular expressions];0
writing;writing;writing;68
type-based testing;type-based testing;type-based testing;0
throw function;throw function;throw function;0
type checking;type checking;type checking;50
programming with;programming with;programming with;3
IO type;io type;IO type;0
memory location;memory location;memory locations, memory location;0
tointeger function;tointeger function;tointeger function;0
maybe monad;maybe monad;maybe monads, maybe monad;0
type name;type name;type names, type name;6
hanging lambda;hanging lambda;hanging lambdas, hanging lambda;0
derivedatatypeable;derivedatatypeable;derivedatatypeable;0
directory;directory;directories, directory;2
combining;combining;combining;12
symbolic evaluation;symbolic evaluation;symbolic evaluation;3
lazy evaluation;lazy evaluation;lazy evaluations, lazy evaluation;33
juxtaposition;juxtaposition;juxtaposition;2
realtofrac function;realtofrac function;realtofrac function;0
multiline literal;multiline literal;multiline literals, multiline literal;0
GHCi;ghci;ghci, GHCi;121
frominteger function;frominteger function;frominteger function;0
quickcheck function;quickcheck function;quickcheck function;1
Data.Map module 2nd;Data.Map module 2nd;Data.Map module 2nd;0
parallel programs 2nd;parallel program 2nd;parallel programs 2nd;0
shared pattern;shared pattern;shared patterns, shared pattern;0
multiline string literal;multiline string literal;multiline string literals, multiline string literal;0
infix;infix;infix;27
shiftr function;shiftr function;shiftr function;0
logging;logging;logging;0
filter;filter;filter;51
Coding.hs;Coding.hs;Coding.hs;2
signature;signature;signatures, signature;83
hugs interpreter;hug interpreter;hugs interpreter;0
>>;>>;>>;0
coding;coding;coding;36
idempotency;idempotency;idempotency;0
IConnection typeclass;iconnection typeclass;IConnection typeclass;0
prefix notation;prefix notation;prefix notation;0
value comparison;value comparison;value comparisons, value comparison;0
>>= (bind) function;>>= ( bind ) function;>>= (bind) function;0
any newtype constructor;any newtype constructor;any newtype constructor;0
word type;word type;word type;0
isalpha;isalpha;isalpha;0
string type;string type;string type;2
atomically block;atomically block;atomically blocks, atomically block;0
signum;signum;signum;3
x:xs pattern;x : x pattern;x:xs pattern;0
regular expression;regular expression;regular expressions, regular expression;43
keyword;keyword;keyword;7
expr;expr;expr;34
representing datum;representing datum;representing data, representing datum;0
tree;tree;tree;217
property-based testing;property-based testing;property-based testing;2
pi value;pi value;pi value;0
matching on;matching on;matching on;0
infinite list;infinite list;infinite lists, infinite list;49
fractional division (/) option;fractional division (/) option;fractional division (/) option;0
question mark (?);question mark (?);question mark (?);0
parsebyte function;parsebyte function;parsebyte function;0
putstr;putstr;putstr;8
elem;elem;elem;17
commutativity;commutativity;commutativity;0
pattern match;pattern match;pattern matches, pattern match;12
latency;latency;latency;0
strings and character;string and character;strings and characters, strings and character;1
seq function;seq function;seq function;0
tuple;tuple;tuples, tuple;32
test datum;test datum;test data, test datum;0
prompt directive (ghci);prompt directive ( ghci );prompt directive (ghci);0
ternary type;ternary type;ternary type;0
threeequal;threeequal;threeequal;2
return keyword;return keyword;return keyword;0
synonyms (types);synonym ( type );synonyms (types);0
recursive type;recursive type;recursive types, recursive type;10
try keyword;try keyword;try keyword;0
recursive data structure;recursive data structure;recursive data structure;0
downloading support material;downloading support material;downloading support materials, downloading support material;1
HPC (Haskell Program Coverage);hpc ( haskell program coverage );HPC (Haskell Program Coverage);0
digittoint;digittoint;digittoint;0
sum;sum;sum;97
UPC-A barcodes;UPC-A barcodes;UPC-A barcodes;0
syntax;syntax;syntax;35
I/O and;I/O and;I/O and;4
do notation;do notation;do notation;0
monad law;monad law;monad laws, monad law;1
palindrome;palindrome;palindrome;8
layout;layout;layout;20
ix type;ix type;ix type;0
Control.Monad.Trans module;Control.Monad.Trans module;Control.Monad.Trans module;0
cons operator;con operator;cons operator;0
case study;case study;case studies, case study;54
pcre.h header file;pcre.h header file;pcre.h header file;0
mapping over;mapping over;mapping over;1
directories and file;directory and file;directories and files, directories and file;0
hseek function;hseek function;hseek function;0
logbase function;logbase function;logbase function;0
closing file handle;closing file handle;closing file handles, closing file handle;0
3d vector type;3d vector type;3d vector type;0
list monad;list monad;list monads, list monad;0
overloaded literal;overloaded literal;overloaded literals, overloaded literal;2
implication;implication;implication;5
lifted function;lifted function;lifted functions, lifted function;0
program termination;program termination;program termination;0
Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;0
mtl library 2nd;mtl library 2nd;mtl library 2nd;0
LINE pragma;line pragma;LINE pragma;0
num;num;num;11
result;result;result;416
Haskell Foreign Function Interface (FFI);haskell foreign function interface ( ffi );Haskell Foreign Function Interface (FFI);0
eratosthene;eratosthene;eratosthenes, eratosthene;0
type declaration;type declaration;type declaration;20
types and purity;type and purity;types and purity;0
filename;filename;filenames, filename;1
identity parser;identity parser;identity parsers, identity parser;0
text I/O;text I/O;text I/O;0
sort function;sort function;sort function;2
lazy;lazy;lazy;66
Product id of barcodes;product id of barcodes;Product IDs of barcodes, Product id of barcodes;0
preprocessor;preprocessor;preprocessor;1
I/O (input/output) and;I/O (input/output) and;I/O (input/output) and;0
seek pointer;seek pointer;seek pointers, seek pointer;0
shell scripting;shell scripting;shell scripting;0
monad;monad;monads, monad;119
internal module;internal module;internal modules, internal module;0
pack function;pack function;pack function;0
comprehension;comprehension;comprehensions, comprehension;75
type definition;type definition;type definitions, type definition;24
maybe type;maybe type;maybe type;0
exception type;exception type;exception type;0
simplification;simplification;simplification;9
replicate;replicate;replicate;8
putstrln function 2nd 3rd;putstrln function 2nd 3rd;putstrln function 2nd 3rd;0
flexible;flexible;flexible;6
dropwhile;dropwhile;dropwhile;3
processing [see file processing];processing [ see file processing ];processing [see file processing];0
syntax error;syntax error;syntax error;1
System.FilePath module 2nd;System.FilePath module 2nd;System.FilePath module 2nd;0
monomorphism restriction;monomorphism restriction;monomorphism restriction;1
record syntax 2nd;record syntax 2nd;record syntax 2nd;0
monoid instance;monoid instance;monoid instance;0
exception;exception;exceptions, exception;11
program development;program development;program development;11
boilerplate code;boilerplate code;boilerplate code;0
or function;or function;or function;6
bytestring module;bytestring module;bytestring modules, bytestring module;0
advantage of functional programming;advantage of functional programming;advantages of functional programming, advantage of functional programming;1
boolean logic;boolean logic;boolean logic;0
IO;io;IO;76
custom data types for;custom data type for;custom data types for;0
id;id;id;16
Data.Traversable module;Data.Traversable module;Data.Traversable module;0
specialization;specialization;specialization;4
recursion;recursion;recursion;141
beside;beside;beside;14
MVar type 2nd 3rd;mvar type 2nd 3rd;MVar type 2nd 3rd;0
haskell 98;haskell 98;haskell 98;1
listing directories with;listing directory with;listing directories with;0
-sstderr RTS option 2nd;-sstderr RTS option 2nd;-sstderr RTS option 2nd;0
nil;nil;nil;14
state monads 2nd 3rd;state monad 2nd 3rd;state monads 2nd 3rd;0
isalphanum;isalphanum;isalphanum;0
emptydatadecl;emptydatadecl;emptydatadecls, emptydatadecl;0
type class constraint;type class constraint;type class constraint;1
file modification;file modification;file modifications, file modification;0
compiling source code;compiling source code;compiling source code;0
System.IO;System.IO;System.IO;8
C PCRE API;C PCRE API;C PCRE API;0
unification;unification;unification;15
nobuffering mode (buffermode);nobuffering mode ( buffermode );nobuffering mode (buffermode);0
just;just;just;95
permissive type;permissive type;permissive types, permissive type;0
Build-Depends field;Build-Depends field;Build-Depends fields, Build-Depends field;0
currying;currying;currying;7
anonymous (lambda) functions 2nd;anonymous ( lambda ) function 2nd;anonymous (lambda) functions 2nd;0
transformer;transformer;transformers, transformer;4
data-directed programming;data-directed programming;data-directed programming;3
pure error handling;pure error handling;pure error handling;0
gen environment;gen environment;gen environment;0
nothing value;nothing value;nothing value;0
character;character;characters, character;159
newtype declaration;newtype declaration;newtype declarations, newtype declaration;0
recursive case;recursive case;recursive case;4
reuse;reuse;reuse;12
SELECT statement;select statement;SELECT statements, SELECT statement;0
monad stack;monad stack;monad stack;0
fusion;fusion;fusion;0
zipwith function;zipwith function;zipwith function;0
combining function;combining function;combining functions, combining function;1
the list monad;the list monad;the list monad;0
reading/modifying state;reading/modifying state;reading/modifying state;0
transformer stacking;transformer stacking;transformer stacking;0
fixity;fixity;fixity;7
starvation;starvation;starvation;0
toupper function;toupper function;toupper function;0
withtransaction function;withtransaction function;withtransaction function;0
type class instance;type class instance;type class instance;0
program error;program error;program error;6
Haskell Program Coverage (HPC);haskell program coverage ( hpc );Haskell Program Coverage (HPC);0
quicksort algorithm;quicksort algorithm;quicksort algorithm;0
category theory;category theory;category theory;3
Data.Monoid module;Data.Monoid module;Data.Monoid module;0
Data.Sequence module;Data.Sequence module;Data.Sequence module;0
core;core;cores, core;1
overlappinginstances language extension;overlappinginstances language extension;overlappinginstances language extension;0
automatic derivation;automatic derivation;automatic derivation;0
precedence and associativity;precedence and associativity;precedence and associativity;0
left-biased function;left-biased function;left-biased functions, left-biased function;0
foldr1;foldr1;foldr1;14
substitution;substitution;substitution;9
word64 type;word64 type;word64 type;0
strong type;strong type;strong types, strong type;1
getmodificationtime function;getmodificationtime function;getmodificationtime function;0
pseudo-random number;pseudo-random number;pseudo-random numbers, pseudo-random number;1
sum type;sum type;sum types, sum type;3
curry;curry;curry;20
Control.Parallel.Strategies module;Control.Parallel.Strategies module;Control.Parallel.Strategies module;0
float;float;float;95
parsing;parsing;parsing;43
rendering;rendering;rendering;1
haskell;haskell;haskell;457
base case;base case;base case;34
writechan function;writechan function;writechan function;0
ghc compiler 2nd;ghc compiler 2nd;ghc compiler 2nd;0
openbinarytempfile function;openbinarytempfile function;openbinarytempfile function;0
DST (Daylight Saving Time);dst ( daylight saving time );DST (Daylight Saving Time);0
head;head;head;53
randomr function;randomr function;randomr function;0
else keyword;else keyword;else keyword;0
putst function;putst function;putst function;0
subclassing;subclassing;subclassing;0
implicit state 2nd;implicit state 2nd;implicit state 2nd;0
program transformation;program transformation;program transformation;3
templates (c++);template ( c ++);templates (c++);0
vs. tab character;vs. tab character;vs. tab characters, vs. tab character;0
maximum;maximum;maximum;42
closed world assumption;closed world assumption;closed world assumptions, closed world assumption;0
traverse function 2nd;traverse function 2nd;traverse function 2nd;0
UTC (Coordinated Universal Time);utc ( coordinated universal time );UTC (Coordinated Universal Time);0
IO monad;io monad;IO monad;1
sfetchallrows' function;sfetchallrows ' function;sfetchallrows' function;0
wild card;wild card;wild card;0
putstrln;putstrln;putstrln;2
main loop (GUI programming);main loop ( gui programming );main loop (GUI programming);0
blackhorse;blackhorse;blackhorse;1
thunk;thunk;thunks, thunk;0
NTree;ntree;NTree;11
-fvia-C GHC option;-fvia-C GHC option;-fvia-C GHC option;0
Foreign.C.String module 2nd;Foreign.C.String module 2nd;Foreign.C.String module 2nd;0
floating;floating;floating;30
equational reasoning;equational reasoning;equational reasoning;0
immutable state;immutable state;immutable states, immutable state;0
enum keyword (C/C++);enum keyword (C/C++);enum keyword (C/C++);0
picture;picture;pictures, picture;233
thread map;thread map;thread maps, thread map;0
mutable array;mutable array;mutable arrays, mutable array;1
miranda;miranda;miranda;0
variable;variable;variable;144
fst;fst;fst;3
time;time;times, time;142
applicative operator;applicative operator;applicative operator;0
intensionality;intensionality;intensionality;2
insert function;insert function;insert function;0
concept;concept;concepts, concept;2
out of scope;out of scope;out of scope;0
cases (value constructors);case ( value constructor );cases (value constructors);0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0
map function;map function;map function;0
printf (c) option;printf ( c ) option;printf (c) option;0
graph;graph;graph;37
case expression;case expression;case expressions, case expression;0
p3 (plain) netpbm image format;p3 ( plain ) netpbm image format;p3 (plain) netpbm image format;0
isspace;isspace;isspace;0
predicate;predicate;predicates, predicate;0
scientific notation;scientific notation;scientific notation;3
string;string;strings, string;286
associativity of operators;associativity of operator;associativity of operators;0
control-with-character escapes;control-with-character escapes;control-with-character escapes;0
universal newline support;universal newline support;universal newline support;0
numeric 2nd;numeric 2nd;numeric 2nd;0
newtype;newtype;newtype;9
programming environment;programming environment;programming environment;0
binary function;binary function;binary function;6
structural recursion;structural recursion;structural recursion;0
invertcolour;invertcolour;invertcolour;6
div;div;div;7
accumulation;accumulation;accumulation;0
conversion between types;conversion between type;conversion between types;1
standard library;standard library;standard libraries, standard library;10
typeclasses 2nd;typeclasses 2nd;typeclasses 2nd;0
pipe (|);pipe (|);pipe (|);0
true boolean value;true boolean value;true boolean value;0
GET method (HTTP);get method ( http );GET method (HTTP);0
fmap;fmap;fmap;2
barcode;barcode;barcodes, barcode;3
parse type;parse type;parse type;0
intergral;intergral;intergral;0
undefinedness;undefinedness;undefinedness;3
ubuntu linux;ubuntu linux;ubuntu linux;0
mempty;mempty;mempty;0
hamming number;hamming number;hamming numbers, hamming number;4
example;example;examples, example;702
queue;queue;queue;92
properties as function;property a function;properties as functions, properties as function;2
NF (normal form);nf ( normal form );NF (normal form);0
whitespace in expressions;whitespace in expression;whitespace in expressions;0
logical;logical;logical;6
language extension;language extension;language extensions, language extension;0
shift function;shift function;shift function;0
pair (2-tuple);pair (2-tuple);pair (2-tuple);0
GHC-Options property;GHC-Options property;GHC-Options property;0
prelude module 2nd;prelude module 2nd;prelude module 2nd;0
scope;scope;scope;11
parsec helper function;parsec helper function;parsec helper functions, parsec helper function;0
leaky code;leaky code;leaky code;0
serverstate;serverstate;serverstate;10
sharing;sharing;sharing;3
head function 2nd 3rd;head function 2nd 3rd;head function 2nd 3rd;0
concat function 2nd 3rd;concat function 2nd 3rd;concat function 2nd 3rd;0
Data.Foldable module 2nd;Data.Foldable module 2nd;Data.Foldable module 2nd;0
otherwise expression;otherwise expression;otherwise expression;0
PostgreSQL;postgresql;PostgreSQL;0
hash tables 2nd;hash table 2nd;hash tables 2nd;0
poke function;poke function;poke function;0
functional programming;functional programming;functional programming;22
floating-point number;floating-point number;floating-point numbers, floating-point number;10
binary search tree;binary search tree;binary search tree;1
arithmetic expression;arithmetic expression;arithmetic expressions, arithmetic expression;2
return calls 2nd;return call 2nd;return calls 2nd;0
stream;stream;stream;1
indice of arrays;indice of array;indices of arrays, indice of arrays;0
right-associative signature;right-associative signature;right-associative signatures, right-associative signature;0
substring;substring;substrings, substring;8
custom data type for errors;custom data type for error;custom data types for errors, custom data type for errors;0
purity;purity;purity;1
logical or (||);logical or (||);logical or (||);0
inheritance;inheritance;inheritance;4
general recursion;general recursion;general recursion;7
international language support;international language support;international language support;0
Control.Applicative module;Control.Applicative module;Control.Applicative module;0
pure;pure;pure;2
parameter;parameter;parameters, parameter;38
cl compiler;cl compiler;cl compiler;0
map;map;maps, map;109
product;product;product;27
strictness;strictness;strictness;1
max;max;max;24
JSON typeclass;json typeclass;JSON typeclasses, JSON typeclass;0
monadic use;monadic use;monadic use;0
date;date;dates, date;2
lifting;lifting;lifting;1
maybe;maybe;maybe;36
explicit;explicit;explicit;12
combinator function;combinator function;combinator functions, combinator function;0
first function;first function;first function;1
waiting for other threads;waiting for other thread;waiting for other threads;0
GHC;ghc;GHC;24
character class;character class;character classes, character class;0
non-strict evaluation;non-strict evaluation;non-strict evaluation;0
search tree;search tree;search tree;35
primitive recursion;primitive recursion;primitive recursion;52
fliph;fliph;fliph;14
pointer;pointer;pointers, pointer;2
System.Posix.Files module;System.Posix.Files module;System.Posix.Files module;0
polymorphic types 2nd;polymorphic type 2nd;polymorphic types 2nd;0
window;window;windows, window;3
bison command;bison command;bison command;0
user IDs (UIDs);user ids ( uids );user IDs (UIDs);0
qualifier;qualifier;qualifier;5
ADT (abstract data types);adt ( abstract data type );ADT (abstract data types);0
qualified;qualified;qualified;17
pattern matching;pattern matching;pattern matching;47
definedness;definedness;definedness;4
equality;equality;equality;86
name;name;name;219
partial function;partial function;partial functions, partial function;0
drop;drop;drop;9
type system;type system;type system;9
square;square;square;39
taking advantage;taking advantage;taking advantage;0
well typed rule;well typed rule;well typed rules, well typed rule;0
folding over arrays;folding over array;folding over arrays;0
web site;web site;web site;0
naming;naming;naming;16
eq;eq;eq;43
programming paradigm;programming paradigm;programming paradigms, programming paradigm;0
shadowing;shadowing;shadowing;0
FFI (Haskell Foreign Function Interface);ffi ( haskell foreign function interface );FFI (Haskell Foreign Function Interface);0
putstr function;putstr function;putstr function;0
HTTP request;http request;HTTP requests, HTTP request;0
maybet monad transformer 2nd;maybet monad transformer 2nd;maybet monad transformer 2nd;0
then and else branch;then and else branch;then and else branches, then and else branch;0
supermarket billing;supermarket billing;supermarket billing;10
ord;ord;ord;27
rawsystem function 2nd;rawsystem function 2nd;rawsystem function 2nd;0
mode based testing;mode based testing;mode based testing;0
derivedatatypeable language;derivedatatypeable language;derivedatatypeable language;0
programming;programming;programming;111
patternguard;patternguard;patternguards, patternguard;0
Data.Function module;Data.Function module;Data.Function module;0
recursive definition;recursive definition;recursive definition;28
handlejust function;handlejust function;handlejust function;0
islower;islower;islower;0
isupper;isupper;isupper;0
lambda;lambda;lambda;26
saving;saving;saving;3
enumeration type;enumeration type;enumeration types, enumeration type;0
clause;clause;clause;35
flexibleinstance;flexibleinstance;flexibleinstances, flexibleinstance;0
type constructor;type constructor;type constructors, type constructor;6
message;message;messages, message;96
partial application;partial application;partial applications, partial application;39
convention;convention;conventions, convention;18
domino effect;domino effect;domino effect;0
hug;hug;hugs, hug;0
-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;0
concurrent programming with threads;concurrent programming with thread;concurrent programming with threads;0
turning two into many;turning two into many;turning two into many;0
diffarray type;diffarray type;diffarray type;0
function application;function application;function application;31
headers (HTTP);header ( http );headers (HTTP);0
argument;argument;argument;297
generalization;generalization;generalization;13
ant;ant;ant;13
ptr type;ptr type;ptr type;0
conditional equation;conditional equation;conditional equation;15
getst function;getst function;getst function;0
object file;object file;object files, object file;0
import directive 2nd;import directive 2nd;import directive 2nd;0
pcre_exec function;pcre_exec function;pcre_exec function;0
visibility of definitions;visibility of definition;visibility of definitions;1
exhaustive pattern;exhaustive pattern;exhaustive patterns, exhaustive pattern;0
monads and 2nd;monad and 2nd;monads and 2nd;0
take;take;take;216
struct keyword (C/C++);struct keyword (C/C++);struct keyword (C/C++);0
data keyword;data keyword;data keyword;0
main thread waiting for other threads;main thread waiting for other thread;main thread waiting for other threads;0
stateful computation;stateful computation;stateful computations, stateful computation;0
runtime statistic;runtime statistic;runtime statistics, runtime statistic;0
tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;0
infix form;infix form;infix form;4
synonym;synonym;synonyms, synonym;12
lazy I/O;lazy I/O;lazy I/O;0
grayscale image format 2nd;grayscale image format 2nd;grayscale image format 2nd;0
pattern;pattern;patterns, pattern;176
typed pointer;typed pointer;typed pointers, typed pointer;0
:reload command;: reload command;:reload command;0
show;show;show;205
API design;api design;API design;0
HUnit library;hunit library;HUnit library;0
lambda expression;lambda expression;lambda expression;3
external program;external program;external programs, external program;0
XML;xml;XML;1
sequential sorting;sequential sorting;sequential sorting;0
Data.Ratio module;Data.Ratio module;Data.Ratio module;0
universal quantifier;universal quantifier;universal quantifier;2
functional picture;functional picture;functional pictures, functional picture;0
filterm;filterm;filterm;0
split function;split function;split function;0
waitfor function;waitfor function;waitfor function;0
Data.Bits module;Data.Bits module;Data.Bits module;0
text I/O and;text I/O and;text I/O and;0
foldl and foldr function;foldl and foldr function;foldl and foldr functions, foldl and foldr function;0
generics (java);generic ( java );generics (java);0
typeable typeclass;typeable typeclass;typeable typeclass;0
dynamic programming;dynamic programming;dynamic programming;7
conjunction;conjunction;conjunction;7
formal parameter;formal parameter;formal parameter;0
passing datum between c and haskell;passing datum between c and haskell;passing data between c and haskell, passing datum between c and haskell;0
source file;source file;source files, source file;0
resource;resource;resources, resource;10
string-handling;string-handling;string-handling;0
filter function 2nd;filter function 2nd;filter function 2nd;0
exclusive or;exclusive or;exclusive or;6
safe keyword;safe keyword;safe keyword;0
ASCII control code;ascii control code;ASCII control codes, ASCII control code;0
generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;0
abstract data type;abstract data type;abstract data type;75
algebraic data structure;algebraic data structure;algebraic data structure;0
rnf function;rnf function;rnf function;0
mainloop keyword;mainloop keyword;mainloop keyword;0
monoid;monoid;monoids, monoid;0
unlines function 2nd;unlines function 2nd;unlines function 2nd;0
manufacturer ID of barcodes;manufacturer id of barcodes;manufacturer ID of barcodes;0
malloc c function;malloc c function;malloc c function;0
stdin function;stdin function;stdin function;0
import;import;import;39
spine for maps;spine for map;spines for maps, spine for maps;0
System.Time module;System.Time module;System.Time module;0
triple (3-tuple);triple (3-tuple);triple (3-tuple);0
serialization;serialization;serialization;0
lists and tuple;list and tuple;lists and tuples, lists and tuple;0
Text.Regex.Posix module;Text.Regex.Posix module;Text.Regex.Posix module;0
hsc2hs command;hsc2hs command;hsc2hs command;0
interface file;interface file;interface files, interface file;0
expression;expression;expressions, expression;326
type variable;type variable;type variables, type variable;27
float type;float type;float type;0
PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);0
filtering;filtering;filtering;6
continuation;continuation;continuations, continuation;0
quot function;quot function;quot function;0
hoogle;hoogle;hoogle;12
huffman code;huffman code;huffman codes, huffman code;10
GUI (graphical user interface) programming;gui ( graphical user interface ) programming;GUI (graphical user interface) programming;0
INSERT query;insert query;INSERT queries, INSERT query;0
class declaration;class declaration;class declarations, class declaration;4
side effect;side effect;side effects, side effect;0
space leak;space leak;space leak;3
declaration;declaration;declaration;66
project idea;project idea;project ideas, project idea;0
specializing for IO;specializing for io;specializing for IO;0
ranges (pattern matching);range ( pattern matching );ranges (pattern matching);0
lists 2nd 3rd 4th;list 2nd 3rd 4th;lists 2nd 3rd 4th;0
java programming language;java programming language;java programming language;0
System.Random;System.Random;System.Random;2
Control.Parallel module;Control.Parallel module;Control.Parallel module;0
modification time;modification time;modification times, modification time;0
exceptions 2nd;exception 2nd;exceptions 2nd;0
strict and lazy;strict and lazy;strict and lazy;1
System.Random module;System.Random module;System.Random module;0
concatenation;concatenation;concatenation;0
parse;parse;parse;23
word8 type;word8 type;word8 type;0
binary;binary;binary;23
System.Exit module;System.Exit module;System.Exit module;0
second function;second function;second function;2
left value 2nd;left value 2nd;left value 2nd;0
arbitrary function;arbitrary function;arbitrary function;1
bangpattern;bangpattern;bangpatterns, bangpattern;0
standard module;standard module;standard module;0
lazy reading from databases;lazy reading from database;lazy reading from databases;0
static type;static type;static types, static type;0
haselfmagic function;haselfmagic function;haselfmagic function;0
running;running;running;19
floating-point operator;floating-point operator;floating-point operators, floating-point operator;0
report flag (hpc);report flag ( hpc );report flag (hpc);0
interact function;interact function;interact function;0
termination;termination;termination;8
model;model;models, model;94
System.IO library;System.IO library;System.IO library;0
conditional expression;conditional expression;conditional expression;4
line constructor;line constructor;line constructor;0
adding safely to PCRE;adding safely to PCRE;adding safely to PCRE;0
bounded type class;bounded type class;bounded type class;0
unicode;unicode;unicode;8
typesynonyminstances 2nd;typesynonyminstances 2nd;typesynonyminstances 2nd;0
deconstructor;deconstructor;deconstructors, deconstructor;0
getprocessstatus function;getprocessstatus function;getprocessstatus function;0
readint function 2nd;readint function 2nd;readint function 2nd;0
fedora linux;fedora linux;fedora linux;0
mathematical induction;mathematical induction;mathematical induction;2
read;read;reads, read;134
composition|see{function composition;composition | see { function composition;composition|see{function composition;0
metadata (database);metadata ( database );metadata (database);0
module declaration;module declaration;module declarations, module declaration;0
mod;mod;mod;11
podcatcher;podcatcher;podcatcher;0
constant applicative forms (CAFs);constant applicative form ( cafs );constant applicative forms (CAFs);0
quickcheck 2nd;quickcheck 2nd;quickcheck 2nd;0
peek function;peek function;peek function;0
multiparamtypeclass;multiparamtypeclass;multiparamtypeclasses, multiparamtypeclass;0
output;output;output;117
parsetimes function;parsetimes function;parsetimes function;0
take function;take function;take function;0
toupper;toupper;toupper;2
